_id,venue_address,City,latitude,longitude
5416,"200 Walnut Street, Sewickley, Pennsylvania 15143 ",Sewickley,40.54,-80.18
5323,"2586 Wexford Bayne Road, Sewickley, Pennsylvania 15143 ",Sewickley,40.61,-80.11
5457,"2586 Wexford Bayne Road, Sewickley, Pennsylvania 15143 ",Sewickley,40.61,-80.11
5443,"615 Main Street, Sharpsburg, Pennsylvania 15215 ",Sharpsburg,40.49,-79.94
5518,316 Railroad St. Stockdale PA 15483,Stockdale,40.08,-79.85
5456,"401 East 8th Avenue, Tarentum, PA 15084",Tarentum,40.6,-79.75
5526,"1590 Saxonburg Boulevard, Tarentum, Pennsylvania 15084 ",Tarentum,40.65,-79.84
5413,"209 Brinton Ave, Trafford, PA 15085",Trafford,40.38,-79.76
5513,"192 11th Street Turtle Creek, PA 15145",Turtle Creek,40.4,-79.82
5510,"912 Penn Avenue, Turtle Creek, Pennsylvania 15145 ",Turtle Creek,40.4,-79.83
5567,"310 Mcmurray Road, Upper Saint Clair, Pennsylvania 15241 ",Upper Saint Clair,40.32,-80.07
5398,"825 2nd St, Verona, Pennsylvania 15147 ",Verona,40.51,-79.84
5440,"605 Hewitt Ave. Washington, PA 15301",Washington,40.17,-80.25
5445,"119 West Chestnut Street, Washington, Pennsylvania 15301 ",Washington,40.17,-80.25
5379,"328 Weaver Run Road, Washington, Pennsylvania 15301 ",Washington,40.08,-80.18
5350,"290 Hallam Road, Washington, Pennsylvania 15301 ",Washington,40.14,-80.18
5544,"119 West Chestnut Street, Washington, Pennsylvania 15301 ",Washington,40.17,-80.25
5361,"267 East Beau Street, Washington, Pennsylvania 15301 ",Washington,40.17,-80.24
5570,"373 Washington Road, Washington, Pennsylvania 15301 ",Washington,40.19,-80.22
5415,"660 Noble Dr., West Mifflin, PA 15122",West Mifflin,40.36,-79.93
5365,"622 Saint Agnes Lane, West Mifflin, Pennsylvania 15122 ",West Mifflin,40.37,-79.88
5532,"90 Supervisor Dr, West Newton, Pennsylvania 15089 ",West Newton,40.19,-79.73
5353,"102 S Water St, West Newton, Pennsylvania 15089 ",West Newton,40.21,-79.77
5386,"512 Perry Highway, West View, Pennsylvania 15229 ",West View,40.52,-80.03
5318,"201 Church Road, Wexford, Pennsylvania 15090 ",Wexford,40.63,-80.06
5346,"12599 Perry Highway, Wexford, Pennsylvania 15090 ",Wexford,40.64,-80.06
5577,"2813 Capitol Street, White Oak, Pennsylvania 15131 ",White Oak,40.35,-79.82
5446,"2916 Jacks Run Road, White Oak, PA 15131",White Oak,40.34,-79.8
5560,"215 West New Castle Street, Zelienople, Pennsylvania 16063 ",Zelienople,40.8,-80.14
5505,"115 Pine Street, Zelienople, Pennsylvania 16063 ",Zelienople,40.79,-80.14
